,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_GBC__subsample,param_GBC__n_estimators,param_GBC__min_samples_split,param_GBC__min_samples_leaf,param_GBC__max_features,param_GBC__max_depth,param_GBC__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
62,6.875354361534119,0.45877401044136795,0.022882843017578126,0.00246395101217395,0.618,50,0.1,0.2,log2,8,0.05,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.05}",0.5609597924773022,0.5505836575875487,0.5691109669046074,0.6015574302401038,0.5833874107722258,0.5756002595717067,0.5892277741726152,0.5710577547047372,0.5743024010382868,0.5652173913043478,0.5741004838773481,0.01382041109151264,33
72,8.08534197807312,0.7669177904078034,0.025388693809509276,0.0025194790690847083,0.9,50,0.1,0.4,sqrt,3,0.05,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.05}",0.546692607003891,0.5376134889753567,0.5418559377027904,0.5736534717715769,0.5587280986372486,0.5476963011031798,0.5496430889033095,0.5600259571706684,0.5522388059701493,0.5496430889033095,0.5517790846141479,0.009725220488768583,34
51,8.003329133987426,0.09056786541850496,0.025721645355224608,0.004268937409114172,0.85,50,0.1,0.4,sqrt,5,0.05,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 50, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.05}",0.5343709468223087,0.5304798962386511,0.5353666450356911,0.5613238157040883,0.5489941596365996,0.5412070084360805,0.5405580791693705,0.5392602206359507,0.5392602206359507,0.5386112913692408,0.5409432283683933,0.008217549513880042,35
53,0.4800506353378296,0.03673318836808054,0.016788840293884277,0.003545212156903385,0.5,2,0.1,0.2,sqrt,5,1,"{'GBC__subsample': 0.5, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 1}",0.45525291828793774,0.4481193255512322,0.5061648280337443,0.4944841012329656,0.5152498377676833,0.5146009085009734,0.49513303049967555,0.5476963011031798,0.49578195976638545,0.5204412719013628,0.4992924482645139,0.028173277630956426,36
93,0.645135498046875,0.014623872683506716,0.012366032600402832,0.0013165185105952588,1.0,4,0.1,0.4,log2,5,0.5,"{'GBC__subsample': 1.0, 'GBC__n_estimators': 4, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.5}",0.496757457846952,0.5012970168612192,0.4892926670992862,0.5107073329007138,0.47566515249837765,0.4828033744321869,0.5262816353017521,0.508760545100584,0.48604802076573655,0.5100584036340039,0.4987671606440813,0.014756357294160648,37
33,1.953222131729126,0.1321459551902792,0.019501686096191406,0.0023285988371158028,0.85,10,0.1,0.4,log2,8,0.1,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 0.1}",0.46368352788586253,0.46368352788586253,0.4879948085658663,0.5107073329007138,0.5029201817001947,0.4873458792991564,0.508760545100584,0.4970798182998053,0.4970798182998053,0.5035691109669046,0.4922824550904756,0.01605033880108736,38
60,12.933739304542542,0.3676392268883104,0.034682631492614746,0.003924952501203304,0.5,100,0.1,0.2,log2,5,0.01,"{'GBC__subsample': 0.5, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.01}",0.48638132295719844,0.48508430609597925,0.4808565866320571,0.5133030499675535,0.4990266060999351,0.4717715768981181,0.5068137573004543,0.4879948085658663,0.49123945489941595,0.49772874756651525,0.49202002169830933,0.011767906272546551,39
45,22.162739944458007,1.5677030801219118,0.06433367729187012,0.005819437184014643,0.8,100,0.1,0.1,log2,8,1,"{'GBC__subsample': 0.8, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'log2', 'GBC__max_depth': 8, 'GBC__learning_rate': 1}",0.7509727626459144,0.7632944228274967,0.764438676184296,0.755353666450357,0.14536015574302402,0.03309539260220636,0.7501622323166774,0.06099935107073329,0.7605451005840363,0.11745619727449708,0.49016779576992386,0.3285990597883119,40
15,1.104866099357605,0.13436264928901415,0.01791834831237793,0.003605754604227115,0.618,4,0.1,0.1,sqrt,5,0.1,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 4, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.1}",0.48443579766536965,0.48702983138780803,0.4808565866320571,0.509409474367294,0.48669695003244645,0.4808565866320571,0.4899415963659961,0.49967553536664505,0.48020765736534715,0.5009733939000649,0.4900083409715085,0.009510773614173228,41
97,1.6787912130355835,0.1862513231597552,0.017081427574157714,0.002923346128232222,0.85,10,0.1,0.4,sqrt,5,0.1,"{'GBC__subsample': 0.85, 'GBC__n_estimators': 10, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.4, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.1}",0.4727626459143969,0.47405966277561606,0.4743672939649578,0.5146009085009734,0.4873458792991564,0.46658014276443865,0.4879948085658663,0.4789097988319273,0.5035691109669046,0.48604802076573655,0.4846238272349974,0.0141211222086776,42
96,0.4276387691497803,0.021885780721701286,0.015353846549987792,0.0020683685774845195,0.618,2,0.1,0.2,log2,3,1,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 2, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.2, 'GBC__max_features': 'log2', 'GBC__max_depth': 3, 'GBC__learning_rate': 1}",0.46303501945525294,0.4727626459143969,0.4983776768332252,0.48604802076573655,0.49059052563270605,0.46398442569759896,0.4789097988319273,0.4879948085658663,0.4646333549643089,0.4808565866320571,0.4787192863293076,0.011699299215191906,43
75,1.0378556489944457,0.03786956645404452,0.014812850952148437,0.0017571785495289897,0.9,4,0.1,0.1,sqrt,3,0.05,"{'GBC__subsample': 0.9, 'GBC__n_estimators': 4, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.1, 'GBC__max_features': 'sqrt', 'GBC__max_depth': 3, 'GBC__learning_rate': 0.05}",0.4597924773022049,0.45265888456549935,0.4646333549643089,0.4918883841661259,0.4892926670992862,0.46398442569759896,0.48604802076573655,0.4782608695652174,0.48020765736534715,0.4938351719662557,0.4760601913457581,0.01397153398529176,44
41,15.00300908088684,0.6502644345257204,0.035803031921386716,0.0033520160983737013,0.618,100,0.1,0.30000000000000004,log2,5,0.01,"{'GBC__subsample': 0.618, 'GBC__n_estimators': 100, 'GBC__min_samples_split': 0.1, 'GBC__min_samples_leaf': 0.30000000000000004, 'GBC__max_features': 'log2', 'GBC__max_depth': 5, 'GBC__learning_rate': 0.01}",0.4584954604409857,0.4656290531776913,0.45425048669695,0.4737183646982479,0.46658014276443865,0.4399740428293316,0.4763140817650876,0.4490590525632706,0.46398442569759896,0.4763140817650876,0.462431919239869,0.011437979482042612,45
