,Model Name,Parameters,parameters,Accuracy Mean,Accuracy SD,Balanced Accuracy Mean,F1 Mean,Precision Mean,Recall Mean,ROC AUC Mean,Fit Time Mean
0,KNN,,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6672737227413937,0.009702362698310589,0.42785073779786786,0.6672737227413937,0.6672737227413937,0.6672737227413937,0.8109381753972352,0.13352830410003663
1,DT,,"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'presort': 'deprecated', 'random_state': None, 'splitter': 'best'}",0.6101749752337955,0.01360395467623031,0.40210986214221,0.6101749752337955,0.6101749752337955,0.6101749752337955,0.6797017118618982,0.4639490365982056
2,RF,,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.712629165120094,0.01513849227509071,0.4481522808197565,0.712629165120094,0.712629165120094,0.712629165120094,0.9262211029990259,4.86478624343872
3,GBC,,"{'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_iter_no_change': None, 'presort': 'deprecated', 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.7278103224362035,0.01055058648898185,0.4821331519502013,0.7278103224362035,0.7278103224362035,0.7278103224362035,0.9323005644511844,109.96298627853393
4,NB,,"{'priors': None, 'var_smoothing': 1e-09}",0.5581376235048745,0.014752192011822512,0.43044210870704314,0.5581376235048745,0.5581376235048745,0.5581376235048745,0.8961441854474232,0.06246778964996338
5,MLP,,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 'auto', 'beta_1': 0.9, 'beta_2': 0.999, 'early_stopping': False, 'epsilon': 1e-08, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_fun': 15000, 'max_iter': 200, 'momentum': 0.9, 'n_iter_no_change': 10, 'nesterovs_momentum': True, 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'solver': 'adam', 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': False, 'warm_start': False}",0.7440310290873496,0.013651318751435545,0.523353532862772,0.7440310290873496,0.7440310290873496,0.7440310290873496,0.945576234994471,20.827113032341003
6,SGD,,"{'alpha': 0.0001, 'average': False, 'class_weight': None, 'early_stopping': False, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.15, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'max_iter': 1000, 'n_iter_no_change': 5, 'n_jobs': None, 'penalty': 'l2', 'power_t': 0.5, 'random_state': None, 'shuffle': True, 'tol': 0.001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.6584470222058376,0.012941443211594393,0.41801606008422876,0.6584470222058376,0.6584470222058376,0.6584470222058376,0.7936162074927351,7.703003883361816
7,QDA,,"{'priors': None, 'reg_param': 0.0, 'store_covariance': False, 'tol': 0.0001}",0.23287260197069132,0.012766572413956042,0.2731699702010039,0.23287260197069132,0.23287260197069132,0.23287260197069132,0.8691180032343958,0.08081119060516358
